table_name,column_name,data_type,total_count,null_count,not_null_count,nan_count,percent_null,distinct_count,unique_count,not_unique_count,percent_distinct,min_value,max_value,mean,median,std_dev,q1_25,q2_50_median,q3_75,zero_count,percent_zeros,min_length,max_length,avg_length,min_size,max_size,avg_size,most_frequent_value,highest_frequency,lowest_frequency,top_10_values,top_10_frequencies
olist_customers_dataset,customer_id,object,99441,0,99441,0,0.0,99441,99441,0,100.0,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,06b8999e2fba1a1fbc88172c00ba8bc7,1,1,"['06b8999e2fba1a1fbc88172c00ba8bc7', 'c023f30c1147aeb0358474f3b1dbc707', 'b5cbf43f42281920a175fc99650c91d6', '19f4e983f8f05b7de16670f8a0cf0ac7', '229ac14c6ee6d6a606264ebcc861beb7', '8cd118ecfb9703463ef9670b1d18a26e', '8b7369c82ac3d8d71b77d5b23b085696', '4b7decb9b58e2569548b8b4c8e20e8d7', 'a30378a29ac174b9a1a158ce067e1fd2', '1d99b48c0fe6d0bc50feebecdc88cbc2']","[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
olist_customers_dataset,customer_unique_id,object,99441,0,99441,0,0.0,96096,93099,6342,96.63619633752677,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,8d50f5eadf50201ccdcedfb9e2ac8455,17,1,"['8d50f5eadf50201ccdcedfb9e2ac8455', '3e43e6105506432c953e165fb2acf44c', '1b6c7548a2a1f9037c1fd3ddfed95f33', 'ca77025e7201e3b30c44b472ff346268', '6469f99c1f9dfae7733b25662e7f1782', '63cfc61cee11cbe306bff5857d00bfe4', '47c1a3033b8b77b3ab6e109eb4d5fdf3', '12f5d6e1cbf93dafd9dcc19095df0b3d', 'de34b16117594161a6a89c50b289d35a', 'dc813062e0fc23409cd255f7f53c7074']","[np.int64(17), np.int64(9), np.int64(7), np.int64(7), np.int64(7), np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
olist_customers_dataset,customer_zip_code_prefix,int64,99441,0,99441,0,0.0,14994,3012,96429,15.078287627839623,1003.0,99990.0,35137.47458291851,24416.0,29797.938996206536,11347.0,24416.0,58900.0,0,0.0,4,5,4.758701139369073,,,,22790,142,1,"[22790, 24220, 22793, 24230, 22775, 29101, 13212, 35162, 22631, 38400]","[np.int64(142), np.int64(124), np.int64(121), np.int64(117), np.int64(110), np.int64(101), np.int64(95), np.int64(93), np.int64(89), np.int64(87)]"
olist_customers_dataset,customer_city,object,99441,0,99441,0,0.0,4119,1144,98297,4.142154644462546,,,,,,,,,0,0.0,3,32,10.344465562494344,3.0,32.0,10.344465562494344,sao paulo,15540,1,"['sao paulo', 'rio de janeiro', 'belo horizonte', 'brasilia', 'curitiba', 'campinas', 'porto alegre', 'salvador', 'guarulhos', 'sao bernardo do campo']","[np.int64(15540), np.int64(6882), np.int64(2773), np.int64(2131), np.int64(1521), np.int64(1444), np.int64(1379), np.int64(1245), np.int64(1189), np.int64(938)]"
olist_customers_dataset,customer_state,object,99441,0,99441,0,0.0,27,0,99441,0.027151778441487917,,,,,,,,,0,0.0,2,2,2.0,2.0,2.0,2.0,SP,41746,46,"['SP', 'RJ', 'MG', 'RS', 'PR', 'SC', 'BA', 'DF', 'ES', 'GO']","[np.int64(41746), np.int64(12852), np.int64(11635), np.int64(5466), np.int64(5045), np.int64(3637), np.int64(3380), np.int64(2140), np.int64(2033), np.int64(2020)]"
olist_geolocation_dataset,geolocation_zip_code_prefix,int64,1000163,0,1000163,0,0.0,19015,1043,999120,1.9011901060127199,1001.0,99990.0,36574.16646586607,26530.0,30549.33571032424,11075.0,26530.0,63504.0,0,0.0,4,5,4.754307047951184,,,,24220,1146,1,"[24220, 24230, 38400, 35500, 11680, 22631, 30140, 11740, 38408, 28970]","[np.int64(1146), np.int64(1102), np.int64(965), np.int64(907), np.int64(879), np.int64(832), np.int64(810), np.int64(788), np.int64(773), np.int64(743)]"
olist_geolocation_dataset,geolocation_lat,float64,1000163,0,1000163,0,0.0,717363,584674,415489,71.72460888875113,-36.6053744107061,45.06593318269697,-21.176152910383962,-22.91937749486411,5.715866308822976,-23.60354554038031,-22.91937749486411,-19.97962033957529,0,0.0,7,19,18.455108817262786,,,,-27.102098999999946,314,1,"[-27.102098999999946, -23.495901469908656, -23.506049208479613, -23.490617505282753, -23.00551425914832, -22.965905556986495, -23.004582245036413, -15.841450954140925, -23.53718574381104, -23.49189491395926]","[np.int64(314), np.int64(190), np.int64(141), np.int64(127), np.int64(102), np.int64(89), np.int64(89), np.int64(85), np.int64(83), np.int64(82)]"
olist_geolocation_dataset,geolocation_lng,float64,1000163,0,1000163,0,0.0,717615,585030,415133,71.74980478182056,-101.46676644931476,121.10539381057764,-46.390541320935775,-46.63787866960149,4.26974830661962,-48.573172180526896,-46.63787866960149,-43.7677088028139,0,0.0,7,19,18.1033611521322,,,,-48.62961349999995,314,1,"[-48.62961349999995, -46.87468669635919, -46.71737739541604, -46.86900366603934, -43.37596441256672, -46.54629394463038, -43.319899315692446, -43.38999869671641, -48.024025688112914, -46.59403568082404]","[np.int64(314), np.int64(190), np.int64(141), np.int64(127), np.int64(102), np.int64(91), np.int64(89), np.int64(89), np.int64(85), np.int64(83)]"
olist_geolocation_dataset,geolocation_city,object,1000163,0,1000163,0,0.0,8011,823,999340,0.800969441980957,,,,,,,,,0,0.0,2,38,10.468264672858323,2.0,38.0,10.468264672858323,sao paulo,135800,1,"['sao paulo', 'rio de janeiro', 'belo horizonte', 'são paulo', 'curitiba', 'porto alegre', 'salvador', 'guarulhos', 'brasilia', 'sao bernardo do campo']","[np.int64(135800), np.int64(62151), np.int64(27805), np.int64(24918), np.int64(16593), np.int64(13521), np.int64(11865), np.int64(11340), np.int64(10470), np.int64(8112)]"
olist_geolocation_dataset,geolocation_state,object,1000163,0,1000163,0,0.0,27,0,1000163,0.002699559971724609,,,,,,,,,0,0.0,2,2,2.0,2.0,2.0,2.0,SP,404268,646,"['SP', 'MG', 'RJ', 'RS', 'PR', 'SC', 'BA', 'GO', 'ES', 'PE']","[np.int64(404268), np.int64(126336), np.int64(121169), np.int64(61851), np.int64(57859), np.int64(38328), np.int64(36045), np.int64(20139), np.int64(16748), np.int64(16432)]"
