Table,Column,Data Type,Total Rows,Overall Score,Status,Completeness Score,Validity Score,Uniqueness Score,Accuracy Score,Consistency Score,Conformity Score,Threshold,Note
olist_sellers,seller_id,object,3095,100.0,PASS,100.0,100.0,100.0,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_sellers,seller_zip_code_prefix,int64,3095,100.0,PASS,100.0,100.0,72.57,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_sellers,seller_city,object,3095,100.0,PASS,100.0,100.0,19.74,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_sellers,seller_state,object,3095,100.0,PASS,100.0,100.0,0.74,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
product_category_name_translation,product_id,int64,71,100.0,PASS,100.0,100.0,100.0,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
product_category_name_translation,product_category_name,object,71,100.0,PASS,100.0,100.0,100.0,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
product_category_name_translation,product_category_name_english,object,71,100.0,PASS,100.0,100.0,100.0,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_orders,order_id,object,99441,100.0,PASS,100.0,100.0,100.0,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_orders,customer_id,object,99441,100.0,PASS,100.0,100.0,100.0,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_orders,order_status,object,99441,100.0,PASS,100.0,100.0,0.01,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_orders,order_purchase_timestamp,object,99441,100.0,PASS,100.0,100.0,99.43,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_orders,order_approved_at,object,99441,99.84,PASS,99.84,99.84,91.24,99.84,99.84,99.84,98.0,Overall score excludes Uniqueness
olist_orders,order_delivered_carrier_date,object,99441,98.21,PASS,98.21,98.21,81.47,98.21,98.21,98.21,98.0,Overall score excludes Uniqueness
olist_orders,order_delivered_customer_date,object,99441,97.02,FAIL,97.02,97.02,96.2,97.02,97.02,97.02,98.0,Overall score excludes Uniqueness
olist_orders,order_estimated_delivery_date,object,99441,100.0,PASS,100.0,100.0,0.46,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_order_items,order_id,object,112650,100.0,PASS,100.0,100.0,87.59,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_order_items,order_item_id,int64,112650,97.52,FAIL,100.0,100.0,0.02,87.59,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_order_items,product_id,object,112650,100.0,PASS,100.0,100.0,29.25,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
olist_order_items,seller_id,object,112650,100.0,PASS,100.0,100.0,2.75,100.0,100.0,100.0,98.0,Overall score excludes Uniqueness
